id,name,common,layer,old_aud_rows,new_aud_rows,old_bird_score_v0_3,new_bird_score_audubon_fixed,claims,guildClaims,speciesClaims,ecological,balanced,note
PLT0211,Cornus drummondii,"Roughleaf Dogwood, Drummond's Dogwood, Rough-leaf Dogwood",Target-zone master list,63,15,35.7,18.5,140,16,124,42.2,62.0,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
CAND2073,Helianthus annuus,,Outside-master review layer,63,15,48.2,34.2,124,20,104,47.0,53.8,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0095,Helianthus maximiliani,"Maximilian Sunflower, Max Sunflower",Target-zone master list,63,15,35.7,18.5,179,19,160,49.4,69.5,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0213,Ilex decidua,"Possumhaw, Possumhaw Holly, Deciduous Holly, Meadow Holly, Prairie Holly, Swamp Holly, Welk Holly, Deciduous Yaupon, Bearberry, Winterberry",Target-zone master list,63,15,35.7,18.5,79,17,62,29.4,52.2,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0214,Ilex vomitoria,"Yaupon, Yaupon Holly, Cassina",Target-zone master list,63,15,43.2,41.5,93,17,76,35.4,57.7,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0261,Juniperus virginiana,"Eastern Red Cedar, Eastern Redcedar, Virginia Juniper, Red Juniper, Pencil Cedar, Carolina Cedar, Red Savin",Target-zone master list,63,15,38.5,16.3,139,22,117,43.6,65.9,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0195,Lindera benzoin,"Northern Spicebush, Spicebush, Wild Allspice",Target-zone master list,63,15,35.2,16.2,37,15,22,24.6,42.8,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0103,Lobelia cardinalis,Cardinal Flower,Target-zone master list,63,15,35.2,18.5,27,16,11,20.4,40.0,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0301,Lonicera sempervirens,"Coral Honeysuckle, Trumpet Honeysuckle, Woodbine",Target-zone master list,63,15,35.2,18.5,59,16,43,26.4,47.5,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0109,Monarda citriodora,"Lemon Beebalm, Purple Horsemint, Lemon Mint, Plains Horsemint, Lemon Horsemint, Horsemint, Purple Lemon Mint",Target-zone master list,63,15,35.2,16.2,81,18,63,38.4,59.4,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0111,Monarda punctata,Spotted Beebalm,Target-zone master list,63,15,35.2,16.2,54,15,39,35.4,54.3,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0265,Morus rubra,"Red Mulberry, Moral",Target-zone master list,63,15,35.7,18.5,44,17,27,33.1,51.4,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0024,Panicum virgatum,"Switchgrass, Wand Panic Grass",Target-zone master list,63,15,39.8,19.4,53,16,37,25.9,46.0,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
CAND3254,Phytolacca americana,,Outside-master review layer,63,15,35.2,16.2,19,15,4,10.3,19.0,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0267,Platanus occidentalis,"American Sycamore, Eastern Sycamore, American Plane Tree, Plane Tree, Buttonwood, Buttonball Tree",Target-zone master list,63,15,35.2,16.2,79,16,63,34.0,55.8,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0271,Prunus serotina,"Black Cherry, Wild Black Cherry, Rum Cherry",Target-zone master list,63,15,36.5,18.3,383,15,368,47.8,71.0,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0275,Quercus fusiformis,"Escarpment Live Oak, Plateau Live Oak, Hill Country Live Oak, Texas Live Oak, Scrub Live Oak, Plateau Oak, Encino Molino, Tesmoli",Target-zone master list,63,15,38.5,16.3,778,19,759,60.2,83.5,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0277,Quercus macrocarpa,"Bur Oak, Burr Oak, Savanna Oak, Overcup Oak, Prairie Oak, Mossy-cup Oak, Mossy-overcup Oak, Blue Oak",Target-zone master list,63,15,38.9,18.6,797,21,776,59.4,82.5,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
CAND3765,Quercus shumardii,,Outside-master review layer,63,15,35.7,18.5,30,17,13,15.7,24.3,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0280,Quercus virginiana,"Coastal Live Oak, Southern Live Oak, Virginia Live Oak, Live Oak, Encino",Target-zone master list,63,15,44.5,28.2,970,22,948,74.4,96.7,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0132,Ratibida columnifera,"Mexican Hat, Red-spike Mexican Hat, Upright Prairie Coneflower, Prairie Coneflower, Long-headed Coneflower, Thimbleflower",Target-zone master list,63,15,35.7,18.5,87,22,65,38.8,57.2,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
CAND3813,Redbud,,Outside-master review layer,63,15,35.2,16.2,15,15,0,3.9,10.0,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0203,Rhus aromatica,"Fragrant Sumac, Aromatic Sumac, Lemon Sumac, Polecat Bush",Target-zone master list,63,15,35.2,16.2,107,17,90,41.3,61.5,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
CAND3956,Rudbeckia hirta var. pulcherrima,,Outside-master review layer,63,15,35.2,16.2,21,15,6,9.8,18.8,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0283,Salix nigra,"Black Willow, Gulf Black Willow, Swamp Willow, Sauz",Target-zone master list,63,15,35.2,16.2,413,22,391,58.2,79.2,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0026,Schizachyrium scoparium,"Little Bluestem, Popotillo Azul",Target-zone master list,63,15,35.7,18.5,34,16,18,22.2,41.2,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0155,Solidago nemoralis,"Gray Goldenrod, Prairie Goldenrod, Oldfield Goldenrod, Grayleaf Goldenrod, Gray-leaved Goldenrod, Dyersweed Goldenrod, Dwarf Goldenrod, Field Goldenrod",Target-zone master list,63,15,35.2,16.2,180,19,161,48.1,67.3,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0028,Sorghastrum nutans,"Indiangrass, Yellow Indiangrass, Indian Grass",Target-zone master list,63,15,35.7,18.5,28,16,12,18.3,36.9,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0287,Taxodium distichum,"Bald Cypress, Baldcypress, Common Bald Cypress, Southern Bald Cypress, Deciduous Cypress, Southern Cypress, Swamp Cypress, Red Cypress, White Cypress, Yellow Cypress, Gulf Cypress, Tidewater Red Cypress",Target-zone master list,63,15,42.3,29.5,71,16,55,37.0,59.0,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0288,Tilia americana,"American Basswood, American Linden, Lime Tree, Bee Tree",Target-zone master list,63,15,35.2,16.2,153,15,138,40.1,59.8,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
CAND4654,Tilia americana var. caroliniana,,Outside-master review layer,63,15,35.2,16.2,15,15,0,3.9,10.0,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0289,Ulmus americana,"American Elm, White Elm, Soft Elm, Water Elm, Common Elm",Target-zone master list,63,15,44.4,18.8,226,17,209,44.6,66.1,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0290,Ulmus crassifolia,"Cedar Elm, Fall Elm, Basket Elm, Scrub Elm, Lime Elm, Texas Elm, Southern Rock Elm, Olmo",Target-zone master list,63,15,55.9,43.4,464,19,445,68.2,89.6,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0222,Viburnum rufidulum,"Rusty Blackhaw Viburnum, Rusty Blackhaw, Southern Blackhaw, Blackhaw, Bluehaw, Downy Viburnum, Southern Nannyberry, Rusty Nannyberry, Nannyberry",Target-zone master list,63,15,35.7,18.5,108,19,89,31.3,53.8,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
