mammal_scientific_name,mammal_common_name,native_or_management_layer,occurrence_scope,soil_role,engineering_category,soil_or_microhabitat_target,plant_ecosystem_relevance,impact_for_native_restoration,evidence_grade,locality_scope,public_status,review_needed,public_note,source_summary,source_url
Geomys personatus,Texas Pocket Gopher,native,Use only if occurrence layer accepts species for dashboard extent,tunnels_belowground,subsurface_tunneling,underground galleries/root zone,Tunnels mix soil and create belowground pathways; effects depend on site and density.,native_ecosystem_engineer,C_texas_account_not_primary_hays,South Texas/coastal plain; Central Texas review,hold_review,yes_occurrence_review,"Important soil engineer, but likely not Hays priority.","Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Thomomys bottae,Botta’s Pocket Gopher,native,Use only if occurrence layer accepts species for dashboard extent,creates_mounds,mound_creation,soil mounds,Mounds create bare-soil microsites and modify soil surface structure.,native_ecosystem_engineer,C_texas_account_not_primary_hays,West Texas; not Hays priority,hold_review,yes_occurrence_review,Keep as western Texas review only.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Thomomys bottae,Botta’s Pocket Gopher,native,Use only if occurrence layer accepts species for dashboard extent,tunnels_belowground,subsurface_tunneling,underground galleries/root zone,Tunnels mix soil and create belowground pathways; effects depend on site and density.,native_ecosystem_engineer,C_texas_account_not_primary_hays,West Texas; not Hays priority,hold_review,yes_occurrence_review,Keep as western Texas review only.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Geomys personatus,Texas Pocket Gopher,native,Use only if occurrence layer accepts species for dashboard extent,undermines_soil_edges,erosion_or_surface_instability,road shoulders / sandy mounds,Can initiate erosion or surface instability in disturbed corridors.,context_dependent_native_engineering,C_texas_account_not_primary_hays,South Texas/coastal plain; not Hays priority,hold_review,yes_occurrence_review,Keep as a process example; not primary Hays row unless occurrence expands.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Cynomys ludovicianus,Black-tailed Prairie Dog,native_historical_or_regional,Regional/historical grassland row; not current Hays import without occurrence confirmation,creates_burrow_towns,colony_burrow_town,"deep burrows, mounds, parapets, side tunnels, nest chambers","Strong grassland engineer; alters grazing, bare ground, soil turnover, and refuge structure.",native_ecosystem_engineer_historical,C_texas_account_regional_context,Texas grasslands; likely not current Hays dashboard priority,hold_review_or_regional_context,yes_occurrence_review,Good explanatory row for prairie restoration but keep out of Hays current-occurrence layer unless verified.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Ictidomys parvidens,Rio Grande Ground Squirrel,native,Edwards Plateau/Central Texas candidate; exact Hays filter useful,digs_burrows,burrow_creation_and_refugia,sandy/gravelly soils; brushy or grassy areas,Burrows provide small refuge spaces and localized soil disturbance.,native_ecosystem_engineer,A_or_B_edwards_plateau_species_account,Edwards Plateau / Central Texas,import_review_occurrence,yes_exact_hays_review,Useful if included in target-zone mammal list; Edwards Plateau account is strong.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Ictidomys parvidens,Rio Grande Ground Squirrel,native,Edwards Plateau/Central Texas candidate; exact Hays filter useful,creates_multiple_refuge_burrows,refugia_creation,temporary refuges and homesite burrows,Multiple burrows may create shelter/refugia used by the animal and possibly other small wildlife.,native_ecosystem_engineer,A_or_B_edwards_plateau_species_account,Edwards Plateau / Central Texas,import_review_occurrence,yes_exact_hays_review,Use as small-mammal refuge function row.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Ictidomys tridecemlineatus,Thirteen-lined Ground Squirrel,native,Central Texas corridor review; exact Hays filter useful,digs_burrows,burrow_creation,ground burrows in pastures/fencerows/grasslands,Creates small burrows and paths through vegetation; local effects usually smaller than pocket gophers.,native_ecosystem_engineer,B_texas_account_occurrence_review,North Texas to Central/South Texas corridor,import_review_occurrence,yes_exact_hays_review,Use if occurrence accepted; smaller-scale soil relation.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Otospermophilus variegatus,Rock Squirrel,native,Strong Central Texas/Edwards Plateau candidate,digs_dens_under_rocks_or_roots,burrow_creation_under_rocks_roots,"rocky fills, boulder piles, tree roots, cut banks",Creates/uses dens that connect rock-root-soil microhabitats; may provide small refuge structures.,native_ecosystem_engineer,A_or_B_central_texas_species_account,Central Texas / Edwards Plateau,import_to_soil_layer,no,Good Central Texas row; not a plant-food edge.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Otospermophilus variegatus,Rock Squirrel,native,Strong Central Texas/Edwards Plateau candidate,uses_crevices_and_cutbank_burrows,refugia_creation,"crevices, rocks, friable cutbank soils",Connects mammal refugia with rocky/rooted soil microhabitats.,native_ecosystem_engineer,A_or_B_central_texas_species_account,Central Texas / Edwards Plateau,import_to_soil_layer,no,"Good for Hays rocky limestone context, but not a direct plant interaction.","Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Xerospermophilus spilosoma,Spotted Ground Squirrel,native,Regional review; not primary Hays without occurrence evidence,digs_burrows,burrow_creation,burrow openings under bushes or rocks,Small burrow creation and refuge function in sandy/hard shrublands.,native_ecosystem_engineer,C_texas_account_occurrence_review,West/South Texas review,hold_review,yes_occurrence_review,Keep in review queue unless GBIF Hays/Central TX confirms relevance.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Perognathus flavescens,Plains Pocket Mouse,native,Regional review; not Hays priority,small_burrow_and_seed_cache,small_burrow_seed_cache,sandy soil burrows and underground seed caches,Links soil cavities with seed storage; likely small local scale.,native_minor_engineer,C_texas_account_not_primary_hays,Northwest Texas / review,hold_review,yes_occurrence_review,Secondary review; not a priority for Hays.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Perognathus flavus,Silky Pocket Mouse,native,Regional review; not Hays priority,small_burrow_creation,small_burrow_creation,medium soils / shallow burrow systems,Small burrows create minor soil voids and seed/cache microhabitats.,native_minor_engineer,C_texas_account_not_primary_hays,Western two-thirds Texas / review,hold_review,yes_occurrence_review,Secondary review; not a priority for Hays.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
